Protein A,Protein B
Uhrf2,Hnrnpa0
Uhrf2,Hnrnpa2b1
Uhrf2,Hnrnpa3
Uhrf2,Hspa1b
Uhrf2,Hspa8
Uhrf2,Junb
Uhrf2,Kif20b
Uhrf2,Kmt2a
Uhrf2,Mga
Uhrf2,Mybbp1a
Uhrf2,Peg3
Uhrf2,Phf3
Uhrf2,Phip
Uhrf2,Ranbp2
Uhrf2,Sart1
Uhrf2,Serbp1
Uhrf2,Sfr1
Uhrf2,Sgol2
Uhrf2,Smtn
Uhrf2,Sumo2
Uhrf2,Sumo3
Uhrf2,Taf9
Uhrf2,Thrap3
Uhrf2,Top2a
Uhrf2,Top2b
Uhrf2,Tpr
Uhrf2,Tpx2
Uhrf2,Trp53
Uhrf2,Tubb5
Uhrf2,Ubb
Uhrf2,Utp14a
Uhrf2,Vim
Uhrf2,Whsc1
Uhrf2,Wiz
Uhrf2,Zbtb33
Uhrf2,Zfml
Uhrf2,Zfp384
Uhrf2,Adnp
Uhrf2,Ahnak
Uhrf2,Atrx
Uhrf2,Cbx3
Uhrf2,Champ1
Uhrf2,Dvl2
Uhrf2,Dvl3
Uhrf2,Hist1h4m
Uhrf2,Hist1h2af
Uhrf2,Ints12
Uhrf2,Mki67
Uhrf2,Nat10
Uhrf2,Ncl
Uhrf2,Nipbl
Uhrf2,Nolc1
Uhrf2,Npm1
Uhrf2,Numa1
Uhrf2,Pold3
Uhrf2,Rif1
Uhrf2,Rsf1
Uhrf2,Smchd1
Uhrf2,Tmpo
Uhrf2,Trim28
Uhrf2,Zc3h11a
Mdm2,Dlx3
Dlx3,Mdm2
Mdm2,Trp53
Pparg,Fbxo9
Fbxo9,Pparg
Nedd4,Spdya
Peli3,Gsk3b
Trim67,Nfkbia
Camk2a,Grin2b
Htr1a,Grin2b
Pdcd1,Usp5
Grin2a,Kctd13
Grin2b,Kctd13
Grin1,Kctd13
Kctd13,Grin2a
Kctd13,Grin2b
Kctd13,Grin1
Kctd13,Cul3
Cul3,Kctd13
Cul3,Grin1
Grin1,Cul3
Kctd13,Sptan1
Kctd13,Sptbn1
Kctd13,Myh9
Kctd13,Myh10
Kctd13,Sptbn2
Kctd13,Ank2
Kctd13,Myo18a
Kctd13,Myo5a
Kctd13,Myh14
Kctd13,Actg1
Kctd13,Actn4
Kctd13,Actn1
Kctd13,Sptb
Kctd13,Actb
Kctd13,Cltc
Kctd13,Plec
Kctd13,Myo6
Mdm2,Cdk9
Mdm2,Trib3
Mdm2,Trim26
Mdm2,Usp39
Mdm2,Cdk1
Mdm2,Tpi1
Mdm2,Hmga2
Mdm2,Zfp768
Mdm2,Ascc1
Mdm2,Zfp932
Mdm2,Slc12a2
Mdm2,D19Bwg1357e
Mdm2,Decr2
Mdm2,Snrpd2
Mdm2,Wdr5
Mdm2,Atp5f1
Mdm2,Mmp14
Mdm2,Cwc27
Mdm2,Zfp771
Mdm2,Rfc2
Mdm2,Skiv2l2
Mdm2,Kdelr1
Mdm2,Nhp2
Mdm2,Mcm6
Kctd13,Srcin1
Kctd13,Sptbn4
Kctd13,Flna
Kctd13,Dbn1
Kctd13,Tjp1
Kctd13,Gfap
Kctd13,Map6
Kctd13,Myh11
Kctd13,Nefm
Kctd13,Tubb2b
Kctd13,Tubb2a
Kctd13,Ina
Kctd13,2010300C02Rik
Kctd13,Atp1a3
Kctd13,Tubb4b
Kctd13,Nefl
Kctd13,Map2
Kctd13,Syngap1
Kctd13,Mprip
Kctd13,Hspa8
Kctd13,Tuba4a
Kctd13,Ank3
Kctd13,Actn2
Kctd13,Tuba1c
Kctd13,Dpysl2
Kctd13,Tuba1a
Kctd13,Acta1
Kctd13,Tubb5
Kctd13,Tubb4a
Kctd13,Ap2a2
Kctd13,Capza2
Kctd13,Ap2b1
Kctd13,Ppp1r9b
Kctd13,Nefh
Kctd13,Vim
Kctd13,Actbl2
Kctd13,Add1
Kctd13,Tmod2
Kctd13,Ctnna2
Kctd13,Flii
Kctd13,Ap2a1
Kctd13,Coro1c
Kctd13,Atp1a2
Kctd13,Camk2b
Kctd13,Gsn
Kctd13,Tubb3
Kctd13,Dnm1
Kctd13,Ablim2
Kctd13,Atp1a1
Kctd13,Map1b
Kctd13,Coro2b
Kctd13,Dlg4
Kctd13,Gapdh
Kctd13,Ppp1ca
Kctd13,Ppp1cc
Kctd13,Ppp1cb
Kctd13,Ap2m1
Kctd13,Nfasc
Kctd13,Capzb
Kctd13,Atp6v0a1
Kctd13,Synj1
Kctd13,Slc25a12
Kctd13,Cnp
Kctd13,Ap1b1
Kctd13,Sipa1l1
Kctd13,Hsp90ab1
Kctd13,Camk2a
Kctd13,Tagln3
Kctd13,Dlg2
Kctd13,Cyfip2
Kctd13,Sorbs1
Kctd13,Caskin1
Kctd13,Limch1
Kctd13,Pkp4
Kctd13,Ppp1r12a
Kctd13,Actr3
Kctd13,Cdh2
Kctd13,Efhd2
Kctd13,Hsp90aa1
Kctd13,Map1a
Kctd13,Alb
Kctd13,Pabpc1
Kctd13,Atp2b1
Kctd13,Dlg3
Kctd13,Ncl
Kctd13,Copa
Kctd13,Nckap1
Kctd13,Cyfip1
Kctd13,Add3
Kctd13,Uba1
Kctd13,Sipa1l3
Kctd13,Specc1
Kctd13,Clasp2
Kctd13,Atp5b
Kctd13,Itpka
Kctd13,Tjp2
Kctd13,Ppp1r9a
Kctd13,Ndufs1
Kctd13,Ddx5
Kctd13,Crmp1
Kctd13,Add2
Kctd13,Sgip1
Kctd13,Arhgef11
Kctd13,Myo5b
Kctd13,Mbp
Kctd13,Hspa2
Kctd13,Tpm3
Kctd13,Lrrc7
Kctd13,Nsf
Kctd13,Arhgef2
Kctd13,Shank2
Kctd13,Hbb-b1
Kctd13,Gm996
Kctd13,Atp2b4
Kctd13,Epb4.1l3
Kctd13,Atp6v1a
Kctd13,Camk2g
Kctd13,Etl4
Kctd13,Prkcg
Kctd13,Dock7
Kctd13,Aco2
Kctd13,Osbpl8
Kctd13,Dmxl2
Kctd13,Myo1d
Kctd13,Specc1l
Kctd13,Synpo
Kctd13,Flnb
Kctd13,Arpc1a
Kctd13,Atp5a1
Kctd13,Kif5c
Kctd13,Gja1
Kctd13,Sbf1
Kctd13,Syn2
Kctd13,Cntn1
Kctd13,Pkm
Kctd13,Baiap2
Kctd13,Twf2
Kctd13,Stxbp1
Kctd13,Ddx17
Kctd13,C530008M17Rik
Kctd13,Tnr
Kctd13,Twf1
Kctd13,Eef1a1
Kctd13,Tpm1
Kctd13,Ablim1
Kctd13,Grin2b
Kctd13,Ctnnb1
Kctd13,Arhgef1
Kctd13,Ddx3y
Kctd13,Map4
Kctd13,Atp6v1b2
Kctd13,Shank3
Kctd13,Wdr1
Kctd13,Kif2a
Kctd13,Rpl4
Kctd13,Dync1h1
Kctd13,Hspa9
Kctd13,Dlg1
Kctd13,Cttn
Kctd13,Rps8
Kctd13,Syn1
Kctd13,Mllt4
Kctd13,Ywhaz
Kctd13,Ctnna1
Kctd13,Camsap3
Kctd13,Lrrfip2
Kctd13,Upf1
Kctd13,C1qc
Kctd13,Ctnnd2
Kctd13,Atp2b3
Kctd13,Hist1h4a
Kctd13,Shank1
Kctd13,Wdr47
Kctd13,Ckb
Kctd13,Grin1
Kctd13,G3bp2
Kctd13,Actr3b
Kctd13,Actn3
Kctd13,Pabpc4
Kctd13,Dctn1
Kctd13,Wdr7
Kctd13,Rpl6
Kctd13,Vcp
Kctd13,Atp2b2
Kctd13,Fam120a
Kctd13,Hspa5
Kctd13,Krt5
Kctd13,Hnrnpu
Kctd13,Gnao1
Kctd13,Homer1
Kctd13,Matr3
Kctd13,Ppp1r12b
Kctd13,Krt6a
Kctd13,Arpc2
Kctd13,Rpl7
Kctd13,Kif5b
Kctd13,Ckap5
Kctd13,Dclk1
Kctd13,Cntnap1
Kctd13,Macf1
Kctd13,Ddx1
Kctd13,Pura
Kctd13,Jup
Kctd13,Hnrnpk
Kctd13,Cfl2
Kctd13,Spire1
Kctd13,Rps3a1
Kctd13,Anks1b
Kctd13,Slc1a2
Kctd13,Spta1
Kctd13,Hnrnph1
Kctd13,Mapk8ip3
Kctd13,Got2
Kctd13,Capza1
Kctd13,Tnnt2
Kctd13,Mical3
Kctd13,Eef2
Kctd13,Slc25a5
Kctd13,Pygb
Kctd13,Bsn
Kctd13,Ywhaq
Kctd13,Ap3d1
Kctd13,Mdh2
Kctd13,Cald1
Kctd13,Camk2d
Kctd13,Dmtn
Kctd13,Slc12a5
Kctd13,Pfkm
Kctd13,Hsph1
Kctd13,Myl12b
Kctd13,Dclk2
Kctd13,Clasp1
Kctd13,Rps6
Kctd13,Rrbp1
Kctd13,Tpi1
Kctd13,Atp2a2
Kctd13,Sept7
Kctd13,Actr2
Kctd13,Slc25a4
Kctd13,Hspa12a
Kctd13,Rps18
Kctd13,Vcl
Kctd13,Eef1a2
Kctd13,Gnb2
Kctd13,Cfl1
Kctd13,Coro1a
Kctd13,Cand1
Kctd13,Ogdh
Kctd13,Arhgap32
Kctd13,Gdi1
Kctd13,Rpl10a
Kctd13,Snap91
Kctd13,Hnrnpm
Kctd13,Kcnq2
Kctd13,Fscn1
Kctd13,Cep170b
Kctd13,Rpl7a
Kctd13,Hist1h2bh
Kctd13,Ogdhl
Kctd13,Hba-a1
Kctd13,Clmn
Kctd13,Fcgr1
Kctd13,Immt
Kctd13,Sfpq
Kctd13,Dst
Kctd13,Hspa1a
Kctd13,Cttnbp2
Kctd13,Erc2
Kctd13,Ncdn
Kctd13,Ywhae
Kctd13,Hspd1
Kctd13,Ckmt1
Kctd13,Eps8
Kctd13,Rpl13
Kctd13,Lmo7
Kctd13,Luzp1
Kctd13,Caprin1
Kctd13,Ppfia2
Kctd13,Agap2
Kctd13,Got1
Kctd13,Ndufs3
Kctd13,Gdi2
Kctd13,Thy1
Kctd13,Aldoc
Kctd13,Lrrfip1
Kctd13,Opa1
Kctd13,C1qb
Kctd13,Pls3
Kctd13,Dhx9
Kctd13,Krt2
Kctd13,Csrp1
Kctd13,Syt1
Kctd13,Cct3
Kctd13,Rps4x
Kctd13,Flnc
Kctd13,Krt1
Kctd13,Plekha5
Kctd13,L1cam
Kctd13,Cep170
Kctd13,Ppp2r1a
Kctd13,Krt14
Kctd13,Ccdc177
Kctd13,Hist2h2be
Kctd13,Gpi1
Kctd13,Prkcb
Kctd13,Gnai1
Kctd13,Pacs1
Kctd13,Rps3
Kctd13,Rpl3
Kctd13,Sdha
Kctd13,Coro1b
Kctd13,Iqgap1
Kctd13,Eno2
Kctd13,Hnrnpf
Kctd13,Sept5
Kctd13,Ywhab
Kctd13,Krt10
Kctd13,Myo7a
Kctd13,Ktn1
Kctd13,Gnb1
Kctd13,Ncan
Kctd13,Syncrip
Kctd13,Tufm
Kctd13,Rpl12
Kctd13,Hk1
Kctd13,Krt79
Kctd13,Lzts3
Kctd13,Atp1b1
Kctd13,Dhx30
Kctd13,Rpl14
Kctd13,Epb4.1l2
Kctd13,Ndufa9
Kctd13,C1qa
Kctd13,Map7d1
Kctd13,Epb4.1l1
Kctd13,Plp1
Kctd13,Fasn
Kctd13,Arhgef17
Kctd13,Rpl23a
Kctd13,Rtcb
Kctd13,Ywhah
Kctd13,Sorbs2
Kctd13,Kbtbd11
Kctd13,Hnrnpa2b1
Kctd13,Sv2a
Kctd13,Ppp3ca
Kctd13,Uqcrc2
Kctd13,Plekha6
Kctd13,Actr1a
Kctd13,Lgi1
Kctd13,Prkca
Kctd13,Tkt
Kctd13,Grin2a
Kctd13,Flot1
Kctd13,Rpl18a
Kctd13,Vdac3
Kctd13,Nckipsd
Kctd13,Dpysl4
Kctd13,Scrib
Kctd13,Tnks1bp1
Kctd13,Atp6v1h
Kctd13,Cask
Kctd13,Uqcrc1
Kctd13,Glul
Kctd13,Iqsec2
Kctd13,Rpl18
Kctd13,Dpysl3
Kctd13,Fam98b
Kctd13,Hspa4l
Kctd13,Prdx6
Kctd13,Krt42
Kctd13,Rps13
Kctd13,Lima1
Kctd13,Iqsec1
Kctd13,Srgap2
Kctd13,Ywhag
Kctd13,Dlgap4
Kctd13,Hist2h2ac
Kctd13,Rps7
Kctd13,Rpl5
Kctd13,Mdh1
Kctd13,Krt16
Kctd13,Bcr
Kctd13,Aldh1b1
Kctd13,Coro2a
Kctd13,Atp8a1
Kctd13,Syne1
Kctd13,Sept6
Kctd13,Rps2
Kctd13,Aak1
Kctd13,Clip2
Kctd13,Rab3d
Kctd13,Dlgap3
Kctd13,Ahcyl1
Kctd13,Hist3h2a
Kctd13,Arpc3
Kctd13,Hnrnpr
Kctd13,Sept8
Kctd13,Coro6
Kctd13,Sipa1l2
Kctd13,Dapk1
Kctd13,Arpc4
Kctd13,Dnm2
Kctd13,Arhgap23
Kctd13,Rps9
Kctd13,Tcp1
Kctd13,Gria2
Kctd13,Rab1
Kctd13,Mtdh
Kctd13,Atp5c1
Kctd13,Cct8
Kctd13,Fam120c
Kctd13,Eef1g
Kctd13,Cnksr2
Kctd13,Syngr3
Kctd13,Idh3a
Kctd13,Vdac2
Kctd13,Rpl24
Kctd13,Cox4i1
Kctd13,Usp10
Kctd13,Myo1c
Kctd13,Eif4g3
Kctd13,Cadps
Kctd13,Aldoa
Kctd13,Rps24
Kctd13,Dnm1l
Kctd13,Rpl11
Kctd13,Tom1l2
Kctd13,Kalrn
Kctd13,Adrbk1
Kctd13,Ncam1
Kctd13,Csnk2a1
Kctd13,Hnrnpa1
Kctd13,Erbb2ip
Kctd13,Rock2
Kctd13,Ndufb4
Kctd13,Bin1
Kctd13,Wasf1
Kctd13,Soga3
Kctd13,Rps11
Kctd13,Cct2
Kctd13,Pdcd6ip
Kctd13,Sept11
Kctd13,Coro7
Kctd13,Rps14
Kctd13,Dlgap1
Kctd13,Rpl35
Kctd13,Rpl17
Kctd13,Trf
Kctd13,Nars
Kctd13,Amph
Kctd13,Eif3a
Kctd13,Rpl15
Kctd13,Rpl23
Kctd13,Strn4
Kctd13,Acot7
Kctd13,Rapgef4
Kctd13,Rpl19
Kctd13,Rps19
Kctd13,Tgm1
Kctd13,Rps16
Kctd13,Gria1
Kctd13,Scai
Kctd13,Prdx2
Kctd13,Hsp90b1
Kctd13,Krt19
Kctd13,Dlat
Kctd13,Pi4ka
Kctd13,Dbnl
Kctd13,Hnrnpa0
Kctd13,Ppp1r12c
Kctd13,Strip1
Kctd13,Dlgap2
Kctd13,Hist1h3b
Kctd13,Gda
Kctd13,Oxr1
Kctd13,Atp6v1d
Kctd13,Prr36
Kctd13,Pebp1
Kctd13,Dctn2
Kctd13,Fgg
Kctd13,Krt76
Kctd13,Phyhip
Kctd13,Hp1bp3
Kctd13,Psmd3
Kctd13,Mink1
Kctd13,Pgk1
Kctd13,Npepps
Kctd13,Fmnl2
Kctd13,2700060E02Rik
Kctd13,Camsap2
Kctd13,Atp6v0d1
Kctd13,G3bp1
Kctd13,Lsamp
Kctd13,Hdlbp
Kctd13,Pfkp
Kctd13,Ppfia3
Kctd13,Slc1a3
Kctd13,Rpl13a
Kctd13,Tln1
Kctd13,Vamp2
Kctd13,Gphn
Kctd13,Slc25a22
Kctd13,Farp1
Kctd13,Tmod3
Kctd13,Pacsin1
Kctd13,Ppp2r2a
Kctd13,Prdx5
Kctd13,Ppp1r18
Kctd13,Srsf1
Kctd13,Pcm1
Kctd13,Trim3
Kctd13,Camkv
Kctd13,Sfxn3
Kctd13,Plekha7
Kctd13,Ptprs
Kctd13,Pafah1b1
Kctd13,Pbxip1
Kctd13,Cs
Kctd13,Dock8
Kctd13,Rplp0
Kctd13,Prpf19
Kctd13,Rps25
Kctd13,Ddx6
Kctd13,Fxr1
Kctd13,Rps26
Kctd13,Srp72
Kctd13,Abhd12
Kctd13,Hadha
Kctd13,Krt78
Kctd13,Purb
Kctd13,Cct7
Kctd13,Smarca4
Kctd13,Ndufa8
Kctd13,Atp5o
Kctd13,Cyc1
Kctd13,Tanc1
Kctd13,Elfn2
Kctd13,Slc3a2
Kctd13,Unc13a
Kctd13,Rims1
Kctd13,Eif4g1
Kctd13,Dhx15
Kctd13,Ddb1
Kctd13,Map1s
Kctd13,Ldha
Kctd13,Pdia3
Kctd13,Vps35
Kctd13,Rasal2
Kctd13,Uqcrq
Kctd13,Gnaz
Kctd13,Mical2
Kctd13,Mark1
Kctd13,Mark3
Kctd13,Mtmr1
Kctd13,Arf5
Kctd13,Rasal1
Kctd13,Vdac1
Kctd13,Samm50
Kctd13,Slc25a3
Kctd13,Rpl10
Kctd13,Numbl
Kctd13,Atad3a
Kctd13,Mapk1
Kctd13,Srsf3
Kctd13,Csde1
Kctd13,Hspa4
Kctd13,Krt72
Kctd13,Dennd2a
Kctd13,Nedd4l
Kctd13,Arpc1b
Kctd13,Arf4
Kctd13,Snd1
Kctd13,Gnaq
Kctd13,Ermn
Kctd13,Gabrb3
Kctd13,Myl6
Kctd13,Alg2
Kctd13,Mpp2
Kctd13,Rpl30
Kctd13,Crym
Kctd13,Gstp1
Kctd13,Rapgef2
Kctd13,Usp9x
Kctd13,Ablim3
Kctd13,Rab10
Kctd13,Yars
Kctd13,Cdk5
Kctd13,Cdc42bpb
Kctd13,Zc2hc1a
Kctd13,Tsc22d4
Kctd13,Erc1
Kctd13,Ola1
Kctd13,Ptplad1
Kctd13,Scn2a1
Kctd13,Atp6v1c1
Kctd13,Ilf2
Kctd13,Mthfd1
Kctd13,Apc
Kctd13,Arpc5l
Kctd13,Appl2
Kctd13,Prdx1
Kctd13,Myo1e
Kctd13,Magi2
Kctd13,Ppfia1
Kctd13,Psmd2
Kctd13,Dagla
Kctd13,Rps10
Kctd13,Ndufs2
Kctd13,Rimbp2
Kctd13,D630045J12Rik
Kctd13,Eef1d
Kctd13,Rps17
Kctd13,Sirt2
Kctd13,Pnmal2
Kctd13,Amot
Kctd13,Nbea
Kctd13,Map9
Kctd13,Mapt
Kctd13,Gpc1
Kctd13,Fam98a
Kctd13,Eps15l1
Kctd13,Nrcam
Kctd13,Lrch3
Kctd13,Kctd10
Kctd13,Slc17a7
Kctd13,Gstm1
Kctd13,Nme2
Kctd13,Dctn4
Kctd13,Tln2
Kctd13,Usp5
Kctd13,Atp6v1g2
Kctd13,Rtn1
Kctd13,Rab2a
Kctd13,Kcnab2
Kctd13,Ptk2b
Kctd13,Cpne6
Kctd13,Napb
Kctd13,Ophn1
Kctd13,Glud1
Kctd13,Ndufa2
Kctd13,Rpl8
Kctd13,Srgap3
Kctd13,Hnrnpab
Kctd13,Pzp
Kctd13,Idh3b
Kctd13,Rbm14
Kctd13,Klc2
Kctd13,Mark2
Kctd13,Cap1
Kctd13,Rbmx
Kctd13,Ago2
Kctd13,Ilf3
Kctd13,Rpl27
Kctd13,Mapk3
Kctd13,Aldh2
Kctd13,Prps1l3
Kctd13,Tpm4
Kctd13,Srp68
Kctd13,Ppib
Kctd13,Gnb2l1
Kctd13,Ppfia4
Kctd13,Cct4
Kctd13,Slc25a11
Kctd13,Cdc5l
Kctd13,Anxa2
Kctd13,Fmr1
Kctd13,Cnot1
Kctd13,Mgst3
Kctd13,Git1
Kctd13,Rpl28
Kctd13,Tppp
Kctd13,Mtus2
Kctd13,Rptor
Kctd13,Pdxk
Kctd13,Zfp185
Kctd13,Parp1
Kctd13,Gsk3b
Kctd13,Taf15
Kctd13,Fga
Kctd13,Strn3
Kctd13,Atxn2l
Kctd13,Svil
Kctd13,Ctnnd1
Kctd13,Pdha1
Kctd13,Rpl26
Kctd13,Eif2s1
Kctd13,Top1
Kctd13,Ap1g1
Kctd13,Inf2
Kctd13,Rps15a
Kctd13,Trio
Kctd13,Mag
Kctd13,Pgam1
Kctd13,Larp1
Kctd13,Arhgap21
Kctd13,Snx27
Kctd13,C4b
Kctd13,Ap3b2
Kctd13,Cct5
Kctd13,Itpr2
Kctd13,Ankrd29
Kctd13,Lrrtm1
Kctd13,Cacna2d3
Kctd13,Brsk1
Kctd13,Slc39a7
Kctd13,Kcnq3
Kctd13,Exoc4
Kctd13,Arhgap35
Kctd13,Hpca
Kctd13,Tanc2
Kctd13,Gabarapl2
Kctd13,Rps23
Kctd13,Eprs
Kctd13,Ppp2cb
Kctd13,Klc1
Kctd13,Nap1l1
Kctd13,Jmy
Kctd13,Ppp2r2c
Kctd13,Hnrnpc
Kctd13,Slc44a1
Kctd13,Slc4a1
Kctd13,Nptn
Kctd13,Vcan
Kctd13,Cdkl5
Kctd13,Hist1h1d
Kctd13,Dsp
Kctd13,Stip1
Kctd13,Mta2
Kctd13,Farsb
Kctd13,Ube2o
Kctd13,Hnrnpa3
Kctd13,Pclo
Kctd13,Lrrc16a
Kctd13,Myh6
Kctd13,Gramd1b
Kctd13,Gjc2
Kctd13,Arhgap39
Kctd13,Rpl21
Kctd13,Itsn2
Kctd13,Abi1
Kctd13,Flot2
Kctd13,Pfn1
Kctd13,Rps20
Kctd13,Lyz1
Kctd13,Rpl31
Kctd13,Cacna1a
Kctd13,Stx1b
Kctd13,Ctbp1
Kctd13,Car2
Kctd13,Thrap3
Kctd13,Lancl2
Kctd13,Mapre3
Kctd13,Dstn
Kctd13,Dlst
Kctd13,Otud4
Kctd13,Arvcf
Kctd13,Tarsl2
Kctd13,Rab7
Kctd13,Ikbkap
Kctd13,Prickle2
Kctd13,Pdia6
Kctd13,Srsf7
Kctd13,Trappc10
Kctd13,Slc4a4
Kctd13,Ldhb
Kctd13,Slc12a6
Kctd13,Ildr2
Kctd13,Pip4k2c
Kctd13,Gpm6b
Kctd13,Uqcrfs1
Kctd13,Ewsr1
Kctd13,Rplp1
Kctd13,Fh1
Kctd13,Kif3a
Kctd13,Gpm6a
Kctd13,Aqp4
Kctd13,Usp7
Kctd13,Ptprz1
Kctd13,Suclg1
Kctd13,Mal2
Kctd13,Ap3b1
Kctd13,Kif1b
Kctd13,Adam22
Kctd13,Srpk2
Kctd13,Kcnd3
Kctd13,Rap1gds1
Kctd13,Serbp1
Kctd13,Dld
Kctd13,Rps5
Kctd13,Trim28
Kctd13,Acly
Kctd13,Dars
Kctd13,Utrn
Kctd13,Eif3c
Kctd13,Arhgdia
Kctd13,Cul3
Kctd13,Csnk2a2
Kctd13,Dhx36
Kctd13,Rap2b
Kctd13,Sept4
Kctd13,Sipa1
Kctd13,Prnp
Kctd13,Ptbp1
Kctd13,Mybbp1a
Kctd13,Ssb
Kctd13,Pacs2
Kctd13,Ptges3
Kctd13,Nav1
Kctd13,Rpl27a
Kctd13,Itm2c
Kctd13,Mcu
Kctd13,6330403A02Rik
Kctd13,Atp6v1e1
Kctd13,Enpp6
Kctd13,Pfkl
Kctd13,Slc8a2
Kctd13,Eif2s3x
Kctd13,Kng1
Kctd13,Ogt
Kctd13,Arhgef12
Kctd13,Farsa
Kctd13,Atp6v0c
Kctd13,Hyou1
Kctd13,Hapln1
Kctd13,Hspb1
Kctd13,Npm1
Kctd13,Sh3gl1
Kctd13,Map7d2
Kctd13,Ehd1
Kctd13,Usp31
Kctd13,Tollip
Kctd13,Elavl3
Kctd13,Ndufs8
Kctd13,Ndel1
Kctd13,Gas2l1
Kctd13,Dynll2
Kctd13,Srrt
Kctd13,Abcd3
Kctd13,Dgkz
Kctd13,Nipsnap1
Kctd13,Cotl1
Kctd13,Bcas1
Kctd13,Acat1
Kctd13,Ago1
Kctd13,Dnajc6
Kctd13,Cpeb4
Kctd13,Mast1
Kctd13,Ppp6r2
Kctd13,Smarcc2
Kctd13,Rbbp7
Kctd13,Snap47
Kctd13,Ndufb5
Kctd13,Sept9
Kctd13,Ndufb3
Kctd13,Pip4k2a
Kctd13,Dpysl5
Kctd13,Khsrp
Kctd13,Syp
Kctd13,Sod1
Kctd13,Nufip2
Kctd13,COX1
Kctd13,Cit
Kctd13,Cct6a
Kctd13,Rhot1
Kctd13,Map7
Kctd13,Trim46
Kctd13,Prkar1a
Kctd13,Dhx29
Kctd13,Arfgef2
Kctd13,Cryab
Kctd13,Sec16a
Kctd13,Homer3
Kctd13,Armc8
Kctd13,Cycs
Kctd13,Rufy3
Kctd13,Ndufa12
Kctd13,Ehd3
Kctd13,Itsn1
Kctd13,Cpne4
Kctd13,Ndufa13
Kctd13,Brsk2
Kctd13,Scamp1
Kctd13,Mical1
Kctd13,Cpeb2
Kctd13,Arhgef4
Kctd13,Myef2
Kctd13,Mtch2
Kctd13,Hdac11
Kctd13,Iqsec3
Kctd13,Ndufb7
Kctd13,Ndufc2
Kctd13,Phb2
Kctd13,Itpkb
Kctd13,Copb1
Kctd13,Htra1
Kctd13,Prkaca
Kctd13,Sucla2
Kctd13,Ap3m1
Kctd13,Cacnb4
Kctd13,Afg3l2
Kctd13,Cacna2d1
Kctd13,Reep5
Kctd13,Tfam
Kctd13,Akr1b10
Kctd13,Cab39
Kctd13,Igsf8
Kctd13,Nos1
Kctd13,Nudt21
Kctd13,Hadhb
Kctd13,Snrpd1
Kctd13,Elavl1
Kctd13,Trim9
Kctd13,Bcas3
Kctd13,Prkar2b
Kctd13,Wnk2
Kctd13,Fam120b
Kctd13,Rac1
Kctd13,Tars
Kctd13,Bclaf1
Kctd13,Kctd12
Kctd13,Vars
Kctd13,Pcx
Kctd13,Fermt2
Kctd13,Aldh7a1
Kctd13,Gpd2
Kctd13,Grm3
Kctd13,Rai14
Kctd13,Ppp1r7
Kctd13,Snx2
Kctd13,Nlgn3
Kctd13,Pde2a
Kctd13,Por
Kctd13,Fam213b
Kctd13,Acadl
Kctd13,Srsf2
Kctd13,Atp5h
Kctd13,Ppp2r5e
Kctd13,Mars
Kctd13,Psd3
Kctd13,Agap3
Kctd13,ND5
Kctd13,Gkap1
Kctd13,Scamp5
Kctd13,Fau
Kctd13,Rab14
Kctd13,Vapb
Kctd13,Gnb3
Kctd13,Hsdl1
Kctd13,Arcn1
Kctd13,Iars
Kctd13,Plcl1
Kctd13,Slc2a1
Kctd13,Slc1a4
Kctd13,Fbxl16
Kctd13,Ntm
Kctd13,Pcbp1
Kctd13,Sec23a
Kctd13,Anxa1
Kctd13,Hck
Kctd13,Sacs
Kctd13,Mecp2
Kctd13,Fn1
Kctd13,Prkra
Kctd13,Acsl6
Kctd13,Psmc3
Kctd13,H1f0
Kctd13,Sec24c
Kctd13,Lrrc47
Kctd13,Asap1
Kctd13,Csnk1d
Kctd13,Psma7
Kctd13,Xrn1
Kctd13,Inpp4a
Kctd13,Cul5
Kctd13,Opcml
Kctd13,Nhsl1
Kctd13,Ubap2l
Kctd13,Peak1
Kctd13,Slc6a1
Kctd13,Sacm1l
Kctd13,Ndufb9
Kctd13,Dnaja2
Kctd13,Ptcd3
Kctd13,Smu1
Kctd13,Cyth2
Kctd13,Tecr
Kctd13,Pde4d
Kctd13,Snph
Kctd13,Gap43
Kctd13,Prrc2a
Kctd13,Thbs4
Kctd13,Uso1
Kctd13,Ptgs2
Kctd13,Cox6b1
Kctd13,Edc4
Kctd13,Lrrc59
Kctd13,Copb2
Kctd13,Ttc7b
Kctd13,Trappc9
Kctd13,Plxna4
Kctd13,Eif3l
Kctd13,Scaper
Kctd13,Kpnb1
Kctd13,Agtpbp1
Kctd13,Rph3a
Kctd13,Mapk8ip2
Kctd13,Ran
Kctd13,Idh2
Kctd13,P4hb
Kctd13,Iqgap2
Kctd13,Atp9a
Kctd13,U2af1
Kctd13,Eif4e
Kctd13,Tom1
Kctd13,Snrnp200
Kctd13,Vps45
Kctd13,Psma6
Kctd13,Map2k1
Kctd13,Mob4
Kctd13,Icam5
Kctd13,Tpp2
Kctd13,Cops3
Kctd13,Shroom2
Kctd13,Nisch
Kctd13,Osbpl6
Kctd13,Eif2s2
Kctd13,Mrpl48
Kctd13,Slc2a3
Kctd13,Rpl22
Kctd13,Srsf5
Kctd13,Gnb5
Kctd13,Mboat7
Kctd13,Rpl35a
Kctd13,Dnajb6
